"Plot Title: 10509629"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10509629, SEN S/N: 10509629)","RH, % (LGR S/N: 10509629, SEN S/N: 10509629)","DewPt, °C (LGR S/N: 10509629, SEN S/N: 10509629)","Max: Temperature, °C (LGR S/N: 10509629)","Min: Temperature, °C (LGR S/N: 10509629)","Avg: Temperature, °C (LGR S/N: 10509629)","Max: Relative Humidity, % (LGR S/N: 10509629)","Min: Relative Humidity, % (LGR S/N: 10509629)","Avg: Relative Humidity, % (LGR S/N: 10509629)","Coupler Detached (LGR S/N: 10509629)","Coupler Attached (LGR S/N: 10509629)","Host Connected (LGR S/N: 10509629)","Stopped (LGR S/N: 10509629)","End Of File (LGR S/N: 10509629)"
1,04/16/18 12:00:00 AM,,,,26.036,24.992,25.381,45.627,44.843,45.512,,,,,
2,04/16/18 12:00:00 PM,26.036,44.843,13.479,,,,,,,Logged,,,,
3,04/16/18 12:30:00 PM,25.671,45.285,13.298,,,,,,,,,,,
4,04/16/18 01:00:00 PM,25.598,45.342,13.250,,,,,,,,,,,
5,04/16/18 01:30:00 PM,25.550,45.433,13.237,,,,,,,,,,,
6,04/16/18 02:00:00 PM,25.550,45.498,13.258,,,,,,,,,,,
7,04/16/18 02:30:00 PM,25.550,45.530,13.269,,,,,,,,,,,
8,04/16/18 03:00:00 PM,25.550,45.562,13.280,,,,,,,,,,,
9,04/16/18 03:30:00 PM,25.525,45.559,13.257,,,,,,,,,,,
10,04/16/18 04:00:00 PM,25.525,45.592,13.268,,,,,,,,,,,
11,04/16/18 04:30:00 PM,25.501,45.589,13.245,,,,,,,,,,,
12,04/16/18 05:00:00 PM,25.477,45.553,13.211,,,,,,,,,,,
13,04/16/18 05:30:00 PM,25.428,45.548,13.165,,,,,,,,,,,
14,04/16/18 06:00:00 PM,25.380,45.509,13.108,,,,,,,,,,,
15,04/16/18 06:30:00 PM,25.355,45.539,13.096,,,,,,,,,,,
16,04/16/18 07:00:00 PM,25.307,45.533,13.049,,,,,,,,,,,
17,04/16/18 07:30:00 PM,25.258,45.592,13.025,,,,,,,,,,,
18,04/16/18 08:00:00 PM,25.234,45.589,13.002,,,,,,,,,,,
19,04/16/18 08:30:00 PM,25.210,45.586,12.979,,,,,,,,,,,
20,04/16/18 09:00:00 PM,25.162,45.580,12.933,,,,,,,,,,,
21,04/16/18 09:30:00 PM,25.113,45.574,12.887,,,,,,,,,,,
22,04/16/18 10:00:00 PM,25.089,45.604,12.875,,,,,,,,,,,
23,04/16/18 10:30:00 PM,25.065,45.601,12.852,,,,,,,,,,,
24,04/16/18 11:00:00 PM,25.016,45.627,12.816,,,,,,,,,,,
25,04/16/18 11:30:00 PM,24.992,45.624,12.793,,,,,,,,,,,
26,04/17/18 12:00:00 AM,24.968,45.621,12.770,26.451,22.729,24.369,68.256,45.519,52.255,,,,,
27,04/17/18 12:30:00 AM,24.919,45.616,12.724,,,,,,,,,,,
28,04/17/18 01:00:00 AM,24.871,45.545,12.657,,,,,,,,,,,
29,04/17/18 01:30:00 AM,24.823,45.539,12.611,,,,,,,,,,,
30,04/17/18 02:00:00 AM,24.798,45.536,12.588,,,,,,,,,,,
31,04/17/18 02:30:00 AM,24.750,45.563,12.553,,,,,,,,,,,
32,04/17/18 03:00:00 AM,24.726,45.528,12.519,,,,,,,,,,,
33,04/17/18 03:30:00 AM,24.702,45.557,12.507,,,,,,,,,,,
34,04/17/18 04:00:00 AM,24.677,45.554,12.484,,,,,,,,,,,
35,04/17/18 04:30:00 AM,24.653,45.519,12.450,,,,,,,,,,,
36,04/17/18 05:00:00 AM,24.629,45.548,12.438,,,,,,,,,,,
37,04/17/18 05:30:00 AM,24.605,45.578,12.426,,,,,,,,,,,
38,04/17/18 06:00:00 AM,24.581,45.543,12.392,,,,,,,,,,,
39,04/17/18 06:30:00 AM,24.581,45.543,12.392,,,,,,,,,,,
40,04/17/18 07:00:00 AM,24.581,45.575,12.403,,,,,,,,,,,
41,04/17/18 07:30:00 AM,24.581,45.607,12.413,,,,,,,,,,,
42,04/17/18 08:00:00 AM,24.629,45.645,12.470,,,,,,,,,,,
43,04/17/18 08:30:00 AM,24.629,45.645,12.470,,,,,,,,,,,
44,04/17/18 09:00:00 AM,24.629,45.677,12.481,,,,,,,,,,,
45,04/17/18 09:30:00 AM,24.677,45.844,12.580,,,,,,,,,,,
46,04/17/18 10:00:00 AM,24.774,46.050,12.736,,,,,,,,,,,
47,04/17/18 10:30:00 AM,24.919,46.261,12.937,,,,,,,,,,,
48,04/17/18 11:00:00 AM,25.065,46.375,13.107,,,,,,,,,,,
49,04/17/18 11:30:00 AM,25.210,46.232,13.193,,,,,,,,,,,
50,04/17/18 12:00:00 PM,25.258,46.012,13.164,,,,,,,,,,,
51,04/17/18 12:30:00 PM,25.501,45.556,13.234,,,,,,,,,,,
52,04/17/18 01:00:00 PM,26.451,50.817,15.776,,,,,,,,,,,
53,04/17/18 01:30:00 PM,25.744,51.391,15.297,,,,,,,,,,,
54,04/17/18 02:00:00 PM,24.677,54.433,15.185,,,,,,,,,,,
55,04/17/18 02:30:00 PM,24.532,57.066,15.767,,,,,,,,,,,
56,04/17/18 03:00:00 PM,24.605,57.357,15.912,,,,,,,,,,,
57,04/17/18 03:30:00 PM,24.581,57.602,15.954,,,,,,,,,,,
58,04/17/18 04:00:00 PM,24.508,57.870,15.957,,,,,,,,,,,
59,04/17/18 04:30:00 PM,24.388,57.697,15.798,,,,,,,,,,,
60,04/17/18 05:00:00 PM,24.098,57.901,15.580,,,,,,,,,,,
61,04/17/18 05:30:00 PM,23.809,57.299,15.151,,,,,,,,,,,
62,04/17/18 06:00:00 PM,23.521,58.122,15.096,,,,,,,,,,,
63,04/17/18 06:30:00 PM,23.424,59.617,15.388,,,,,,,,,,,
64,04/17/18 07:00:00 PM,23.328,60.369,15.486,,,,,,,,,,,
65,04/17/18 07:30:00 PM,23.208,60.564,15.421,,,,,,,,,,,
66,04/17/18 08:00:00 PM,23.184,61.568,15.645,,,,,,,,,,,
67,04/17/18 08:30:00 PM,23.040,60.904,15.346,,,,,,,,,,,
68,04/17/18 09:00:00 PM,22.968,61.686,15.470,,,,,,,,,,,
69,04/17/18 09:30:00 PM,23.160,68.256,17.169,,,,,,,,,,,
70,04/17/18 10:00:00 PM,23.136,67.625,17.007,,,,,,,,,,,
71,04/17/18 10:30:00 PM,23.016,67.126,16.781,,,,,,,,,,,
72,04/17/18 11:00:00 PM,22.872,67.340,16.691,,,,,,,,,,,
73,04/17/18 11:30:00 PM,22.729,67.374,16.561,,,,,,,,,,,
74,04/18/18 12:00:00 AM,22.585,67.617,16.478,30.041,21.246,23.712,68.823,40.097,61.356,,,,,
75,04/18/18 12:30:00 AM,22.441,67.114,16.229,,,,,,,,,,,
76,04/18/18 01:00:00 AM,22.298,66.641,15.986,,,,,,,,,,,
77,04/18/18 01:30:00 AM,22.178,66.441,15.827,,,,,,,,,,,
78,04/18/18 02:00:00 AM,22.058,66.420,15.709,,,,,,,,,,,
79,04/18/18 02:30:00 AM,21.939,66.249,15.556,,,,,,,,,,,
80,04/18/18 03:00:00 AM,21.795,65.836,15.327,,,,,,,,,,,
81,04/18/18 03:30:00 AM,21.700,65.849,15.239,,,,,,,,,,,
82,04/18/18 04:00:00 AM,21.581,65.589,15.066,,,,,,,,,,,
83,04/18/18 04:30:00 AM,21.461,65.658,14.968,,,,,,,,,,,
84,04/18/18 05:00:00 AM,21.390,65.915,14.957,,,,,,,,,,,
85,04/18/18 05:30:00 AM,21.294,63.138,14.230,,,,,,,,,,,
86,04/18/18 06:00:00 AM,21.246,64.903,14.592,,,,,,,,,,,
87,04/18/18 06:30:00 AM,21.270,65.505,14.752,,,,,,,,,,,
88,04/18/18 07:00:00 AM,21.294,65.330,14.735,,,,,,,,,,,
89,04/18/18 07:30:00 AM,21.318,65.783,14.859,,,,,,,,,,,
90,04/18/18 08:00:00 AM,21.533,65.611,15.026,,,,,,,,,,,
