"Plot Title:  10549252"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10549252, SEN S/N: 10549252)","RH, % (LGR S/N: 10549252, SEN S/N: 10549252)","DewPt, °C (LGR S/N: 10549252, SEN S/N: 10549252)","Max: Temperature, °C (LGR S/N: 10549252)","Min: Temperature, °C (LGR S/N: 10549252)","Avg: Temperature, °C (LGR S/N: 10549252)","Max: Relative Humidity, % (LGR S/N: 10549252)","Min: Relative Humidity, % (LGR S/N: 10549252)","Avg: Relative Humidity, % (LGR S/N: 10549252)","Coupler Detached (LGR S/N: 10549252)","Coupler Attached (LGR S/N: 10549252)","Host Connected (LGR S/N: 10549252)","Stopped (LGR S/N: 10549252)","End Of File (LGR S/N: 10549252)"
1,04/16/18 12:00:00 AM,,,,25.841,25.089,25.400,47.684,47.147,47.479,,,,,
2,04/16/18 12:00:00 PM,25.841,47.147,14.068,,,,,,,Logged,,,,
3,04/16/18 12:30:00 PM,25.574,47.436,13.917,,,,,,,,,,,
4,04/16/18 01:00:00 PM,25.501,47.556,13.888,,,,,,,,,,,
5,04/16/18 01:30:00 PM,25.477,47.617,13.886,,,,,,,,,,,
6,04/16/18 02:00:00 PM,25.477,47.617,13.886,,,,,,,,,,,
7,04/16/18 02:30:00 PM,25.501,47.652,13.919,,,,,,,,,,,
8,04/16/18 03:00:00 PM,25.501,47.684,13.930,,,,,,,,,,,
9,04/16/18 03:30:00 PM,25.501,47.684,13.930,,,,,,,,,,,
10,04/16/18 04:00:00 PM,25.501,47.652,13.919,,,,,,,,,,,
11,04/16/18 04:30:00 PM,25.501,47.620,13.909,,,,,,,,,,,
12,04/16/18 05:00:00 PM,25.501,47.556,13.888,,,,,,,,,,,
13,04/16/18 05:30:00 PM,25.477,47.488,13.845,,,,,,,,,,,
14,04/16/18 06:00:00 PM,25.453,47.453,13.811,,,,,,,,,,,
15,04/16/18 06:30:00 PM,25.428,47.418,13.778,,,,,,,,,,,
16,04/16/18 07:00:00 PM,25.380,47.412,13.731,,,,,,,,,,,
17,04/16/18 07:30:00 PM,25.355,47.441,13.718,,,,,,,,,,,
18,04/16/18 08:00:00 PM,25.331,47.406,13.685,,,,,,,,,,,
19,04/16/18 08:30:00 PM,25.283,47.400,13.639,,,,,,,,,,,
20,04/16/18 09:00:00 PM,25.258,47.397,13.616,,,,,,,,,,,
21,04/16/18 09:30:00 PM,25.210,47.391,13.569,,,,,,,,,,,
22,04/16/18 10:00:00 PM,25.186,47.355,13.536,,,,,,,,,,,
23,04/16/18 10:30:00 PM,25.162,47.352,13.513,,,,,,,,,,,
24,04/16/18 11:00:00 PM,25.113,47.378,13.477,,,,,,,,,,,
25,04/16/18 11:30:00 PM,25.089,47.375,13.454,,,,,,,,,,,
26,04/17/18 12:00:00 AM,25.040,47.337,13.397,25.647,24.605,25.060,48.952,47.249,47.756,,,,,
27,04/17/18 12:30:00 AM,25.016,47.302,13.364,,,,,,,,,,,
28,04/17/18 01:00:00 AM,24.968,47.264,13.307,,,,,,,,,,,
29,04/17/18 01:30:00 AM,24.919,47.290,13.271,,,,,,,,,,,
30,04/17/18 02:00:00 AM,24.895,47.255,13.238,,,,,,,,,,,
31,04/17/18 02:30:00 AM,24.847,47.249,13.192,,,,,,,,,,,
32,04/17/18 03:00:00 AM,24.823,47.278,13.179,,,,,,,,,,,
33,04/17/18 03:30:00 AM,24.774,47.272,13.133,,,,,,,,,,,
34,04/17/18 04:00:00 AM,24.750,47.301,13.120,,,,,,,,,,,
35,04/17/18 04:30:00 AM,24.726,47.266,13.087,,,,,,,,,,,
36,04/17/18 05:00:00 AM,24.677,47.324,13.061,,,,,,,,,,,
37,04/17/18 05:30:00 AM,24.653,47.321,13.038,,,,,,,,,,,
38,04/17/18 06:00:00 AM,24.629,47.318,13.015,,,,,,,,,,,
39,04/17/18 06:30:00 AM,24.629,47.318,13.015,,,,,,,,,,,
40,04/17/18 07:00:00 AM,24.605,47.379,13.013,,,,,,,,,,,
41,04/17/18 07:30:00 AM,24.605,47.475,13.043,,,,,,,,,,,
42,04/17/18 08:00:00 AM,24.629,47.543,13.087,,,,,,,,,,,
43,04/17/18 08:30:00 AM,24.629,47.575,13.097,,,,,,,,,,,
44,04/17/18 09:00:00 AM,24.629,47.575,13.097,,,,,,,,,,,
45,04/17/18 09:30:00 AM,24.653,47.674,13.151,,,,,,,,,,,
46,04/17/18 10:00:00 AM,24.702,47.840,13.248,,,,,,,,,,,
47,04/17/18 10:30:00 AM,24.774,47.977,13.358,,,,,,,,,,,
48,04/17/18 11:00:00 AM,24.871,48.118,13.491,,,,,,,,,,,
49,04/17/18 11:30:00 AM,24.992,48.133,13.606,,,,,,,,,,,
50,04/17/18 12:00:00 PM,25.089,48.113,13.689,,,,,,,,,,,
51,04/17/18 12:30:00 PM,25.137,48.952,13.996,,,,,,,,,,,
52,04/17/18 01:00:00 PM,25.258,48.808,14.062,,,,,,,,,,,
53,04/17/18 01:30:00 PM,25.307,48.430,13.988,,,,,,,,,,,
54,04/17/18 02:00:00 PM,25.380,48.375,14.038,,,,,,,,,,,
55,04/17/18 02:30:00 PM,25.453,48.288,14.077,,,,,,,,,,,
56,04/17/18 03:00:00 PM,25.550,48.204,14.140,,,,,,,,,,,
57,04/17/18 03:30:00 PM,25.598,48.114,14.155,,,,,,,,,,,
58,04/17/18 04:00:00 PM,25.647,48.024,14.171,,,,,,,,,,,
59,04/17/18 04:30:00 PM,25.647,47.992,14.161,,,,,,,,,,,
60,04/17/18 05:00:00 PM,25.647,47.959,14.151,,,,,,,,,,,
61,04/17/18 05:30:00 PM,25.598,47.889,14.084,,,,,,,,,,,
62,04/17/18 06:00:00 PM,25.550,47.819,14.017,,,,,,,,,,,
63,04/17/18 06:30:00 PM,25.501,47.813,13.971,,,,,,,,,,,
64,04/17/18 07:00:00 PM,25.428,47.803,13.901,,,,,,,,,,,
65,04/17/18 07:30:00 PM,25.380,47.797,13.855,,,,,,,,,,,
66,04/17/18 08:00:00 PM,25.331,47.823,13.819,,,,,,,,,,,
67,04/17/18 08:30:00 PM,25.258,47.814,13.749,,,,,,,,,,,
68,04/17/18 09:00:00 PM,25.210,47.808,13.703,,,,,,,,,,,
69,04/17/18 09:30:00 PM,25.162,47.770,13.646,,,,,,,,,,,
70,04/17/18 10:00:00 PM,25.137,47.831,13.644,,,,,,,,,,,
71,04/17/18 10:30:00 PM,25.089,47.825,13.597,,,,,,,,,,,
72,04/17/18 11:00:00 PM,25.065,47.822,13.574,,,,,,,,,,,
73,04/17/18 11:30:00 PM,25.016,47.816,13.528,,,,,,,,,,,
74,04/18/18 12:00:00 AM,24.992,47.781,13.494,25.793,24.605,25.164,48.825,47.706,48.156,,,,,
75,04/18/18 12:30:00 AM,24.944,47.807,13.458,,,,,,,,,,,
76,04/18/18 01:00:00 AM,24.919,47.771,13.425,,,,,,,,,,,
77,04/18/18 01:30:00 AM,24.871,47.797,13.389,,,,,,,,,,,
78,04/18/18 02:00:00 AM,24.847,47.762,13.356,,,,,,,,,,,
79,04/18/18 02:30:00 AM,24.798,47.724,13.299,,,,,,,,,,,
80,04/18/18 03:00:00 AM,24.750,47.718,13.253,,,,,,,,,,,
81,04/18/18 03:30:00 AM,24.726,47.715,13.230,,,,,,,,,,,
82,04/18/18 04:00:00 AM,24.677,47.709,13.184,,,,,,,,,,,
83,04/18/18 04:30:00 AM,24.653,47.706,13.161,,,,,,,,,,,
84,04/18/18 05:00:00 AM,24.629,47.735,13.148,,,,,,,,,,,
85,04/18/18 05:30:00 AM,24.629,47.767,13.158,,,,,,,,,,,
86,04/18/18 06:00:00 AM,24.629,47.767,13.158,,,,,,,,,,,
87,04/18/18 06:30:00 AM,24.629,47.799,13.168,,,,,,,,,,,
88,04/18/18 07:00:00 AM,24.653,47.834,13.201,,,,,,,,,,,
89,04/18/18 07:30:00 AM,24.653,47.834,13.201,,,,,,,,,,,
90,04/18/18 08:00:00 AM,24.605,47.860,13.165,,,,,,,,,,,
91,04/18/18 08:30:00 AM,24.629,48.279,13.320,,,,,,,,,,,
92,04/18/18 09:00:00 AM,24.677,48.317,13.376,,,,,,,,,,,
93,04/18/18 09:30:00 AM,24.750,48.327,13.445,,,,,,,,,,,
94,04/18/18 10:00:00 AM,24.895,48.825,13.734,,,,,,,,,,,
95,04/18/18 10:30:00 AM,24.992,48.677,13.777,,,,,,,,,,,
96,04/18/18 11:00:00 AM,25.113,48.629,13.873,,,,,,,,,,,
97,04/18/18 11:30:00 AM,25.186,48.574,13.923,,,,,,,,,,,
98,04/18/18 12:00:00 PM,25.186,48.478,13.892,,,,,,,,,,,
99,04/18/18 12:30:00 PM,25.162,48.475,13.869,,,,,,,,,,,
100,04/18/18 01:00:00 PM,25.210,48.705,13.986,,,,,,,,,,,
101,04/18/18 01:30:00 PM,25.355,48.756,14.135,,,,,,,,,,,
102,04/18/18 02:00:00 PM,25.501,48.615,14.224,,,,,,,,,,,
103,04/18/18 02:30:00 PM,25.598,48.467,14.267,,,,,,,,,,,
104,04/18/18 03:00:00 PM,25.695,48.415,14.340,,,,,,,,,,,
105,04/18/18 03:30:00 PM,25.744,48.357,14.366,,,,,,,,,,,
106,04/18/18 04:00:00 PM,25.768,48.264,14.359,,,,,,,,,,,
107,04/18/18 04:30:00 PM,25.793,48.235,14.372,,,,,,,,,,,
108,04/18/18 05:00:00 PM,25.793,48.235,14.372,,,,,,,,,,,
109,04/18/18 05:30:00 PM,25.793,48.203,14.362,,,,,,,,,,,
110,04/18/18 06:00:00 PM,25.768,48.200,14.338,,,,,,,,,,,
111,04/18/18 06:30:00 PM,25.744,48.196,14.315,,,,,,,,,,,
112,04/18/18 07:00:00 PM,25.720,48.161,14.282,,,,,,,,,,,
113,04/18/18 07:30:00 PM,25.671,48.155,14.235,,,,,,,,,,,
114,04/18/18 08:00:00 PM,25.623,48.149,14.189,,,,,,,,,,,
115,04/18/18 08:30:00 PM,25.574,48.175,14.153,,,,,,,,,,,
116,04/18/18 09:00:00 PM,25.525,48.201,14.116,,,,,,,,,,,
117,04/18/18 09:30:00 PM,25.477,48.227,14.080,,,,,,,,,,,
118,04/18/18 10:00:00 PM,25.404,48.250,14.020,,,,,,,,,,,
119,04/18/18 10:30:00 PM,25.355,48.276,13.984,,,,,,,,,,,
120,04/18/18 11:00:00 PM,25.307,48.301,13.948,,,,,,,,,,,
121,04/18/18 11:30:00 PM,25.283,48.298,13.925,,,,,,,,,,,
122,04/19/18 12:00:00 AM,25.234,48.292,13.878,25.963,24.798,25.445,48.409,45.011,47.506,,,,,
123,04/19/18 12:30:00 AM,25.210,48.321,13.865,,,,,,,,,,,
124,04/19/18 01:00:00 AM,25.162,48.315,13.819,,,,,,,,,,,
125,04/19/18 01:30:00 AM,25.137,48.312,13.796,,,,,,,,,,,
126,04/19/18 02:00:00 AM,25.113,48.341,13.783,,,,,,,,,,,
127,04/19/18 02:30:00 AM,25.089,48.338,13.759,,,,,,,,,,,
128,04/19/18 03:00:00 AM,25.040,48.332,13.713,,,,,,,,,,,
129,04/19/18 03:30:00 AM,25.016,48.328,13.690,,,,,,,,,,,
