"Plot Title:  10549253"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 10549253, SEN S/N: 10549253)","RH, % (LGR S/N: 10549253, SEN S/N: 10549253)","DewPt, °C (LGR S/N: 10549253, SEN S/N: 10549253)","Max: Temperature, °C (LGR S/N: 10549253)","Min: Temperature, °C (LGR S/N: 10549253)","Avg: Temperature, °C (LGR S/N: 10549253)","Max: Relative Humidity, % (LGR S/N: 10549253)","Min: Relative Humidity, % (LGR S/N: 10549253)","Avg: Relative Humidity, % (LGR S/N: 10549253)","Coupler Detached (LGR S/N: 10549253)","Coupler Attached (LGR S/N: 10549253)","Host Connected (LGR S/N: 10549253)","Stopped (LGR S/N: 10549253)","End Of File (LGR S/N: 10549253)"
1,04/21/18 12:00:00 AM,,,,25.453,14.170,21.481,71.646,25.093,44.933,,,,,
2,04/21/18 12:00:00 PM,25.307,25.322,4.211,,,,,,,Logged,,,,
3,04/21/18 12:30:00 PM,25.331,28.225,5.853,,,,,,,,,,,
4,04/21/18 01:00:00 PM,25.453,25.093,4.198,,,,,,,,,,,
5,04/21/18 01:30:00 PM,24.823,25.732,4.040,,,,,,,,,,,
6,04/21/18 02:00:00 PM,24.944,25.639,4.088,,,,,,,,,,,
7,04/21/18 02:30:00 PM,25.016,26.464,4.622,,,,,,,,,,,
8,04/21/18 03:00:00 PM,24.798,31.159,6.873,,,,,,,,,,,
9,04/21/18 03:30:00 PM,24.171,36.709,8.777,,,,,,,,,,,
10,04/21/18 04:00:00 PM,23.881,38.132,9.090,,,,,,,,,,,
11,04/21/18 04:30:00 PM,24.557,29.249,5.720,,,,,,,,,,,
12,04/21/18 05:00:00 PM,24.944,33.354,8.020,,,,,,,,,,,
13,04/21/18 05:30:00 PM,24.026,41.163,10.366,,,,,,,,,,,
14,04/21/18 06:00:00 PM,23.232,42.246,10.041,,,,,,,,,,,
15,04/21/18 06:30:00 PM,22.633,47.196,11.151,,,,,,,,,,,
16,04/21/18 07:00:00 PM,21.485,51.320,11.341,,,,,,,,,,,
17,04/21/18 07:30:00 PM,20.746,52.782,11.071,,,,,,,,,,,
18,04/21/18 08:00:00 PM,19.984,55.000,10.966,,,,,,,,,,,
19,04/21/18 08:30:00 PM,18.176,62.408,11.104,,,,,,,,,,,
20,04/21/18 09:00:00 PM,17.106,63.718,10.386,,,,,,,,,,,
21,04/21/18 09:30:00 PM,16.272,67.778,10.469,,,,,,,,,,,
22,04/21/18 10:00:00 PM,15.031,71.646,10.057,,,,,,,,,,,
23,04/21/18 10:30:00 PM,14.768,66.953,8.856,,,,,,,,,,,
24,04/21/18 11:00:00 PM,14.697,64.191,8.198,,,,,,,,,,,
